20160101T,42.34,101.63,42.34,84.69,0
20160201T,43.14,103.53,43.14,86.28,0
20160301T,43.88,105.31,43.88,87.76,0
20160401T,44.67,107.22,44.67,89.35,0
20160501T,45.44,109.06,45.44,90.89,0
20160601T,46.24,110.97,46.24,92.47,0
20160701T,47.00,112.81,47.00,94.01,0
20160801T,47.80,114.72,47.80,95.60,0
20160901T,48.59,116.62,48.59,97.18,0
20161001T,49.36,118.47,49.36,98.72,0
20161101T,50.15,120.37,50.15,100.31,0
20161201T,50.92,122.22,50.92,101.85,0
20170101T,51.64,123.94,51.64,103.28,0
20170201T,50.09,120.21,50.09,100.18,0
20170301T,48.69,116.85,48.69,97.37,0
20170401T,47.13,113.12,47.13,94.27,0
20170501T,45.63,109.51,45.63,91.26,0
20170601T,44.08,105.79,44.08,88.16,0
20170701T,42.58,102.18,42.58,85.15,0
20170801T,41.02,98.45,41.02,82.04,0
20170901T,39.47,94.73,39.47,78.94,0
20171001T,37.97,91.12,37.97,75.93,0
20171101T,36.41,87.39,36.41,72.83,0
20171201T,34.91,83.79,34.91,69.82,0
20180101T,33.54,80.50,33.54,67.08,0
20180201T,37.59,90.22,37.59,75.18,0
20180301T,41.25,99.00,41.25,82.50,0
20180401T,45.30,108.72,45.30,90.60,0
20180501T,49.22,118.13,49.22,98.44,0
20180601T,53.27,127.86,53.27,106.55,0
20180701T,57.19,137.27,57.19,114.39,0
20180801T,61.25,146.99,61.25,122.49,0
20180901T,65.30,156.71,65.30,130.59,0
20181001T,69.22,166.12,69.22,138.43,0
20181101T,73.27,175.84,73.27,146.54,0
20181201T,77.19,185.25,77.19,154.38,0
20190101T,81.14,194.73,81.14,162.28,0
20190201T,82.00,196.80,82.00,164.00,0
20190301T,82.78,198.66,82.78,165.55,0
20190401T,83.64,200.73,83.64,167.27,0
20190501T,84.47,202.73,84.47,168.94,0
20190601T,85.33,204.79,85.33,170.66,0
20190701T,86.16,206.79,86.16,172.33,0
20190801T,87.02,208.86,87.02,174.05,0
20190901T,87.88,210.92,87.88,175.77,0
20191001T,88.72,212.92,88.72,177.43,0
20191101T,89.58,214.99,89.58,179.16,0
20191201T,90.41,216.99,90.41,180.82,0
20200101T,91.29,219.10,91.29,182.58,0
20200201T,92.78,222.66,92.78,185.55,0
20200301T,94.16,225.99,94.16,188.33,0
20200401T,95.65,229.56,95.65,191.30,0
20200501T,97.08,233.00,97.08,194.17,0
20200601T,98.57,236.56,98.57,197.14,0
20200701T,100.00,240.01,100.00,200.01,0
20200801T,101.49,243.57,101.49,202.98,0
20200901T,102.97,247.13,102.97,205.95,0
20201001T,104.41,250.58,104.41,208.82,0
20201101T,105.89,254.14,105.89,211.79,0
20201201T,107.33,257.59,107.33,214.66,0
20210101T,109.04,261.69,109.04,218.08,0
20210201T,117.49,281.97,117.49,234.97,0
20210301T,125.12,300.28,125.12,250.24,0
20210401T,133.57,320.56,133.57,267.14,0
20210501T,141.74,340.19,141.74,283.49,0
20210601T,150.19,360.47,150.19,300.39,0
20210701T,158.37,380.09,158.37,316.74,0
20210801T,166.82,400.37,166.82,333.64,0
20210901T,175.27,420.65,175.27,350.54,0
20211001T,183.45,440.27,183.45,366.89,0
20211101T,191.90,460.55,191.90,383.79,0
20211201T,200.07,480.18,200.07,400.15,0
20220101T,208.14,499.54,208.14,416.29,0
20220201T,204.83,491.60,204.83,409.67,0
20220301T,201.84,484.42,201.84,403.69,0
20220401T,198.53,476.48,198.53,397.06,0
20220501T,195.33,468.79,195.33,390.66,0
20220601T,192.02,460.84,192.02,384.04,0
20220701T,188.81,453.16,188.81,377.63,0
20220801T,185.50,445.21,185.50,371.01,0
20220901T,182.19,437.27,182.19,364.39,0
20221001T,178.99,429.58,178.99,357.98,0
20221101T,175.68,421.63,175.68,351.36,0
20221201T,172.48,413.94,172.48,344.95,0
20230101T,169.40,406.56,169.40,338.80,0
20230201T,173.31,415.94,173.31,346.62,0
20230301T,176.84,424.41,176.84,353.68,0
20230401T,180.75,433.80,180.75,361.50,0
20230501T,184.53,442.88,184.53,369.06,0
20230601T,188.44,452.26,188.44,376.88,0
20230701T,192.22,461.34,192.22,384.45,0
20230801T,196.13,470.72,196.13,392.27,0
20230901T,200.04,480.10,200.04,400.09,0
20231001T,203.83,489.18,203.83,407.65,0
20231101T,207.74,498.57,207.74,415.47,0
20231201T,211.52,507.65,211.52,423.04,0
20240101T,215.53,517.27,215.53,431.06,0
20240201T,222.57,534.18,222.57,445.15,0
20240301T,229.16,549.99,229.16,458.32,0
20240401T,236.20,566.89,236.20,472.41,0
20240501T,243.02,583.25,243.02,486.04,0
20240601T,250.06,600.15,250.06,500.13,0
20240701T,256.88,616.51,256.88,513.76,0
20240801T,263.92,633.41,263.92,527.84,0
20240901T,270.96,650.31,270.96,541.93,0
20241001T,277.78,666.67,277.78,555.56,0
20241101T,284.82,683.58,284.82,569.65,0
20241201T,291.64,699.93,291.64,583.28,0
20250101T,298.74,716.97,298.74,597.47,0
20250201T,307.47,737.93,307.47,614.94,0
20250301T,315.36,756.86,315.36,630.71,0
20250401T,324.09,777.82,324.09,648.18,0
20250501T,332.54,798.10,332.54,665.08,0
20250601T,341.27,819.06,341.27,682.55,0
20250701T,349.73,839.34,349.73,699.45,0
20250801T,358.46,860.30,358.46,716.92,0
20250901T,367.19,881.26,367.19,734.39,0
20251001T,375.64,901.55,375.64,751.29,0
20251101T,384.38,922.51,384.38,768.75,0
20251201T,392.83,942.79,392.83,785.66,0
20260101T,401.28,963.07,401.28,802.56,0
20260201T,401.28,963.07,401.28,802.56,0
20260301T,401.28,963.07,401.28,802.56,0
20260401T,401.28,963.07,401.28,802.56,0
20260501T,401.28,963.07,401.28,802.56,0
20260601T,401.28,963.07,401.28,802.56,0
20260701T,401.28,963.07,401.28,802.56,0
20260801T,401.28,963.07,401.28,802.56,0
